emp_no,first_name,last_name,title,salary,to_date
10001,Georgi,Facello,Senior Engineer,60117,9999-01-01
10004,Chirstian,Koblick,Senior Engineer,40054,9999-01-01
10009,Sumant,Peac,Senior Engineer,60929,9999-01-01
10018,Kazuhide,Peha,Senior Engineer,55881,9999-01-01
10035,Alain,Chappelet,Senior Engineer,41538,9999-01-01
10053,Sanjiv,Zschoche,Senior Staff,67854,9999-01-01
10058,Berhard,McFarlin,Senior Staff,52787,9999-01-01
10066,Kwee,Schusler,Senior Engineer,69736,9999-01-01
10067,Claudi,Stavenow,Senior Engineer,44642,9999-01-01
10070,Reuven,Garigliano,Technique Leader,55999,9999-01-01
10072,Hironoby,Sidou,Senior Engineer,40000,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,47319,9999-01-01
10088,Jungsoon,Syrzycki,Senior Staff,65957,9999-01-01
10100,Hironobu,Haraldson,Senior Staff,54398,9999-01-01
10103,Akemi,Birch,Engineer,68158,9999-01-01
10126,Kayoko,Valtorta,Senior Staff,40000,9999-01-01
10129,Armond,Peir,Technique Leader,40000,9999-01-01
10130,Nishit,Casperson,Senior Engineer,40000,9999-01-01
10134,Diederik,Siprelle,Senior Engineer,40000,9999-01-01
10138,Perry,Shimshoni,Senior Engineer,53574,9999-01-01
10150,Zhenbing,Perng,Senior Engineer,70122,9999-01-01
10153,Heekeun,Majewski,Assistant Engineer,54246,9999-01-01
10157,Nigel,Aloisi,Senior Engineer,48770,9999-01-01
10198,Pranav,Furedi,Senior Engineer,44076,9999-01-01
10215,Xiaobin,Duclos,Senior Staff,43944,9999-01-01
10224,Leon,Trogemann,Senior Engineer,40000,9999-01-01
10233,Lein,Vendrig,Senior Staff,40000,9999-01-01
10258,Basil,Ishibashi,Senior Engineer,66280,9999-01-01
10272,Yishai,Cannane,Staff,58070,9999-01-01
10282,Hercules,Benzmuller,Engineer,40000,9999-01-01
10283,Kauko,Birjandi,Senior Engineer,40000,9999-01-01
10326,Masali,Czap,Staff,40000,9999-01-01
10340,Djelloul,Laventhal,Senior Staff,68132,9999-01-01
10347,Pradeep,Kaminger,Staff,42199,9999-01-01
10355,Satyanarayana,Cochrane,Staff,70434,9999-01-01
10356,Vasilis,Standera,Senior Staff,45376,9999-01-01
10364,Nakhoon,Dengi,Senior Engineer,51401,9999-01-01
10372,Anneli,Frijda,Technique Leader,54505,9999-01-01
10387,Parto,Wrigley,Senior Staff,61374,9999-01-01
